Band_ID,Adult_Color,HY_Color,Sex,Birth_Year,Known_Age,Banding_Age,Mother_ID,Father_ID,Banding_Date,Natal_NestKey,Last_Yr_Seen
2021.76286,LG.,,F,1990,False,AHY,,,06/02/92,,1994
2021.76287,,,F,1990,False,AHY,,,06/02/92,,1992
2021.76288,.WB,,F,1991,True,SY,,,06/03/92,,1994
2021.76289,,,F,1990,False,AHY,,,06/03/92,,1992
2021.7629,YN.,,F,1990,False,AHY,,,06/04/92,,1993
2021.76291,,,F,1991,True,SY,,,06/04/92,,1993
2021.76292,LO.,,F,1990,False,AHY,,,06/06/92,,1993
2021.76293,NB.,,F,1990,False,AHY,,,06/07/92,,1993
2021.76294,,,F,1991,True,SY,,,06/08/92,,1992
2021.76295,LB.,,M,1991,False,AHY,,,06/08/92,,1994
2021.76296,OG.,,F,1991,True,SY,,,06/09/92,,1994
2021.76297,GY.,,F,1990,False,ASY,,,06/01/92,,1995
2021.76298,WY.,,F,1990,False,AHY,,,06/21/92,,1993
2021.76299,,,F,1990,False,AHY,,,06/13/92,,1992
2021.763,,,F,1990,False,AHY,,,06/15/92,,1992
2021.76301,YB.,,F,1987,False,AHY,,,05/29/89,,1993
2021.76302,,,F,1987,False,AHY,,,05/29/89,,1989
2021.76303,,,F,1987,False,AHY,,,05/03/89,,1990
2021.76304,,,U,1987,False,N,940.25732,2021.76304,05/03/89,89-O24.1,1989
2021.76305,,,F,1987,False,AHY,,,05/03/89,,1989
2021.76306,,,F,1987,False,AHY,,,05/30/89,,1989
2021.76307,,,F,1987,False,AHY,,,05/03/89,,1989
2021.76308,,,F,1987,False,AHY,,,05/03/89,,1989
2021.76309,,,F,1987,False,AHY,,,05/03/89,,1991
2021.7631,,,M,1987,False,AHY,,,05/31/89,,1989
2021.76311,,,F,1987,False,AHY,,,05/31/89,,1990
2021.76312,,,F,1987,False,AHY,,,06/04/89,,1992
2021.76313,,,F,1987,False,AHY,,,06/01/89,,1989
2021.76314,,,F,1988,True,SY,,,06/01/89,,1989
2021.76315,,,F,1987,False,AHY,,,06/01/89,,1989
2021.76316,,,F,1987,False,AHY,,,06/01/89,,1990
2021.76317,,,F,1987,False,AHY,,,06/01/89,,1989
2021.76318,,,F,1987,False,AHY,,,06/01/89,,1989
2021.76319,,,F,1987,False,AHY,,,06/01/89,,1990
2021.7632,,,F,1987,False,AHY,,,06/01/89,,1990
2021.76321,,,F,1987,False,AHY,,,06/01/89,,1990
2021.76322,,,F,1987,False,AHY,,,06/02/89,,1989
2021.76323,,,M,1988,False,AHY,,,06/02/89,,1989
2021.76324,,,M,1988,False,AHY,,,06/02/89,,1992
2021.76325,,,F,1987,False,AHY,,,06/02/89,,1989
2021.76326,,,F,1987,False,AHY,,,06/02/89,,1991
2021.76327,,,F,1987,False,AHY,,,06/03/89,,1990
2021.76328,,,F,1987,False,AHY,,,06/04/89,,1989
2021.76329,,,F,1987,False,AHY,,,06/04/89,,2011
2021.7633,OL.,,F,1987,False,AHY,,,06/05/89,,1993
2021.76331,,,F,1987,False,AHY,,,06/05/89,,1989
2021.76332,,,F,1988,True,SY,,,06/05/89,,1989
2021.76333,,,F,1988,True,SY,,,06/06/89,,1989
2021.76334,,,F,1987,False,AHY,,,06/06/89,,1989
2021.76335,,,F,1987,False,AHY,,,06/06/89,,1990
2021.76336,,,F,1988,True,SY,,,06/07/89,,2011
2021.76337,,,M,1988,False,AHY,,,06/09/89,,1990
2021.76338,,,F,1987,False,AHY,,,06/09/89,,1989
2021.76339,,,M,1988,False,AHY,,,06/13/89,,1990
2021.7634,,,F,1987,False,AHY,,,06/14/89,,1989
2021.76341,,,F,1988,True,SY,,,06/17/89,,1989
2021.76342,,,F,1988,True,SY,,,06/18/89,,1989
2021.76343,,,M,1988,False,AHY,,,06/18/89,,1989
2021.76344,,,M,1988,False,AHY,,,06/18/89,,1989
2021.76345,,,M,1988,False,AHY,,,06/18/89,,1989
2021.76346,LR.,,M,1988,False,AHY,,,06/19/89,,1995
2021.76347,,,M,1988,False,AHY,,,06/19/89,,1989
2021.76348,,,M,1988,False,AHY,,,06/02/89,,1989
2021.76349,,,M,1988,False,AHY,,,06/21/89,,1989
2021.7635,,,M,1988,False,AHY,,,06/21/89,,1990
2021.76351,,,M,1988,False,AHY,,,06/21/89,,1990
2021.76352,,,M,1988,False,AHY,,,06/22/89,,1989
2021.76353,,,M,1988,False,AHY,,,06/23/89,,1989
2021.76354,,,M,1988,False,AHY,,,06/22/89,,1993
2021.76355,,,M,1988,False,AHY,,,06/24/89,,1989
2021.76356,,,M,1988,False,AHY,,,06/24/89,,1990
2021.76357,,,M,1988,False,AHY,,,06/26/89,,1989
2021.76358,,,F,1987,False,AHY,,,06/29/89,,1989
2021.76359,,,M,1988,False,AHY,,,06/29/89,,1989
2021.76493,,,F,1988,False,AHY,,,07/01/90,,1990
2021.76601,,,U,1989,True,N,1560.04274,2021.76339,06/22/89,89-M28.2,1989
2021.76602,,,U,1989,True,N,1560.04274,2021.76339,06/22/89,89-M28.2,1989
